contract_number,contract_org,AUTORENEW,RENEWAL_PATH
W1041825,FSS,M,"Full Touch"
W1041825,FSS,N,"Auto Quote Send"
W1045161,FSS,M,"Full Touch"
W1045161,FSS,N,"Auto Quote Send"
W1045946,FSS,N,"Auto Quote Send"
W1045946,FSS,M,"Full Touch"
W1046836,FSS,M,"Full Touch"
W1046836,FSS,N,"Auto Quote Send"
W1048696,FSS,M,"Full Touch"
W1048696,FSS,Y,"No Touch"
W1048796,FSS,M,"Full Touch"
W1048796,FSS,N,"Auto Quote Send"
W1048982,FSS,M,"Full Touch"
W1048982,FSS,Y,"No Touch"
W1048987,FSS,M,"Full Touch"
W1048987,FSS,N,"Auto Quote Send"
W1049040,FSS,M,"Full Touch"
W1049040,FSS,N,"Auto Quote Send"
W1049535,FSS,M,"Full Touch"
W1049535,FSS,N,"Auto Quote Send"
W1049538,FSS,M,"Full Touch"
W1049538,FSS,N,"Auto Quote Send"
W1049544,FSS,M,"Full Touch"
W1049544,FSS,N,"Auto Quote Send"
W1049592,FSS,N,"Auto Quote Send"
W1049592,FSS,M,"Full Touch"
W1049645,FSS,N,"Auto Quote Send"
W1049645,FSS,M,"Full Touch"
W1049724,FSS,N,"Auto Quote Send"
W1049724,FSS,M,"Full Touch"
W1049910,FSS,M,"Full Touch"
W1049910,FSS,N,"Auto Quote Send"
W1049980,FSS,M,"Full Touch"
W1049980,FSS,N,"Auto Quote Send"
W1050140,FSS,M,"Full Touch"
W1050140,FSS,N,"Auto Quote Send"
W1050692,FSS,M,"Full Touch"
W1050692,FSS,Y,"No Touch"
W1050834,FSS,N,"Auto Quote Send"
W1050834,FSS,M,"Full Touch"
W1050852,FSS,M,"Full Touch"
W1050852,FSS,Y,"No Touch"
W1050939,FSS,M,"Full Touch"
W1050939,FSS,N,"Auto Quote Send"
W1051008,FSS,M,"Full Touch"
W1051008,FSS,N,"Auto Quote Send"
W1051018,FSS,M,"Full Touch"
W1051018,FSS,N,"Auto Quote Send"
W1051024,FSS,M,"Full Touch"
W1051024,FSS,N,"Auto Quote Send"
W1051078,FSS,M,"Full Touch"
W1051078,FSS,N,"Auto Quote Send"
W1051082,FSS,M,"Full Touch"
W1051082,FSS,N,"Auto Quote Send"
W1051276,FSS,M,"Full Touch"
W1051276,FSS,N,"Auto Quote Send"
W1051468,FSS,M,"Full Touch"
W1051468,FSS,N,"Auto Quote Send"
W1051523,FSS,M,"Full Touch"
W1051523,FSS,N,"Auto Quote Send"
W1051567,FSS,M,"Full Touch"
W1051567,FSS,N,"Auto Quote Send"
W1051584,FSS,M,"Full Touch"
W1051584,FSS,N,"Auto Quote Send"
W1051613,FSS,M,"Full Touch"
W1051613,FSS,N,"Auto Quote Send"
W1051631,FSS,M,"Full Touch"
W1051631,FSS,N,"Auto Quote Send"
W1051715,X2,M,"Full Touch"
W1051715,X2,N,"Full Touch"
W1051748,X2,M,"Full Touch"
W1051748,X2,N,"Full Touch"
W1051808,X2,M,"Full Touch"
W1051808,X2,Y,"Full Touch"
W1051872,FSS,M,"Full Touch"
W1051872,FSS,N,"Auto Quote Send"
W1051945,FSS,M,"Full Touch"
W1051945,FSS,N,"Auto Quote Send"
W1051969,FSS,M,"Full Touch"
W1051969,FSS,N,"Auto Quote Send"
W1052005,FSS,M,"Full Touch"
W1052005,FSS,N,"Auto Quote Send"
W1052042,FSS,M,"Full Touch"
W1052042,FSS,N,"Auto Quote Send"
W1052058,FSS,M,"Full Touch"
W1052058,FSS,N,"Auto Quote Send"
W1052116,X2,M,"Full Touch"
W1052116,X2,Y,"Full Touch"
W1052123,X2,M,"Full Touch"
W1052123,X2,N,"Full Touch"
W1052145,FSS,M,"Full Touch"
W1052145,FSS,N,"Auto Quote Send"
W1052166,FSS,M,"Full Touch"
W1052166,FSS,N,"Auto Quote Send"
W1052177,FSS,N,"Auto Quote Send"
W1052177,FSS,M,"Full Touch"
W1052222,X2,Y,"Full Touch"
W1052222,X2,M,"Full Touch"
W1052249,FSS,M,"Full Touch"
W1052249,FSS,N,"Auto Quote Send"
W1052257,FSS,N,"Auto Quote Send"
W1052257,FSS,M,"Full Touch"
W1052360,FSS,M,"Full Touch"
W1052360,FSS,N,"Auto Quote Send"
W1052382,FSS,M,"Full Touch"
W1052382,FSS,N,"Auto Quote Send"
W1052437,FSS,N,"Auto Quote Send"
W1052437,FSS,M,"Full Touch"
W1052742,FSS,M,"Full Touch"
W1052742,FSS,Y,"No Touch"
W1052826,FSS,M,"Full Touch"
W1052826,FSS,Y,"No Touch"
W1053619,FSS,M,"Full Touch"
W1053619,FSS,N,"Auto Quote Send"
W1053661,FSS,M,"Full Touch"
W1053661,FSS,N,"Auto Quote Send"
W1053664,FSS,M,"Full Touch"
W1053664,FSS,N,"Auto Quote Send"
W1053725,FSS,M,"Full Touch"
W1053725,FSS,N,"Auto Quote Send"
W1053742,FSS,M,"Full Touch"
W1053742,FSS,N,"Auto Quote Send"
W1053778,FSS,M,"Full Touch"
W1053778,FSS,N,"Auto Quote Send"
W1053832,FSS,M,"Full Touch"
W1053832,FSS,N,"Auto Quote Send"
W1053858,FSS,N,"Auto Quote Send"
W1053858,FSS,M,"Full Touch"
W1053919,FSS,M,"Full Touch"
W1053919,FSS,N,"Auto Quote Send"
W1053976,FSS,M,"Full Touch"
W1053976,FSS,N,"Auto Quote Send"
W1054059,FSS,M,"Full Touch"
W1054059,FSS,N,"Auto Quote Send"
W1054123,FSS,M,"Full Touch"
W1054123,FSS,N,"Auto Quote Send"
W1054255,FSS,M,"Full Touch"
W1054255,FSS,N,"Auto Quote Send"
W1054257,FSS,M,"Full Touch"
W1054257,FSS,N,"Auto Quote Send"
W1054370,FSS,M,"Full Touch"
W1054370,FSS,Y,"No Touch"
W1054383,FSS,M,"Full Touch"
W1054383,FSS,N,"Auto Quote Send"
W1054479,FSS,M,"Full Touch"
W1054479,FSS,N,"Auto Quote Send"
W1054509,FSS,M,"Full Touch"
W1054509,FSS,N,"Auto Quote Send"
W1054515,FSS,M,"Full Touch"
W1054515,FSS,N,"Auto Quote Send"
W1054526,FSS,M,"Full Touch"
W1054526,FSS,N,"Auto Quote Send"
W1054543,FSS,N,"Auto Quote Send"
W1054543,FSS,M,"Full Touch"
W1054550,FSS,M,"Full Touch"
W1054550,FSS,N,"Auto Quote Send"
W1054611,FSS,N,"Auto Quote Send"
W1054611,FSS,M,"Full Touch"
W1054634,FSS,N,"Auto Quote Send"
W1054634,FSS,M,"Full Touch"
W1054638,FSS,M,"Full Touch"
W1054638,FSS,N,"Auto Quote Send"
W1054663,FSS,M,"Full Touch"
W1054663,FSS,N,"Auto Quote Send"
W1054710,FSS,M,"Full Touch"
W1054710,FSS,N,"Auto Quote Send"
W1054785,FSS,M,"Full Touch"
W1054785,FSS,N,"Auto Quote Send"
W1054790,FSS,M,"Full Touch"
W1054790,FSS,N,"Auto Quote Send"
W1054849,FSS,M,"Full Touch"
W1054849,FSS,N,"Auto Quote Send"
W1054883,FSS,M,"Full Touch"
W1054883,FSS,N,"Auto Quote Send"
W1054900,FSS,M,"Full Touch"
W1054900,FSS,N,"Auto Quote Send"
W1054913,FSS,M,"Full Touch"
W1054913,FSS,N,"Auto Quote Send"
W1054924,FSS,M,"Full Touch"
W1054924,FSS,N,"Auto Quote Send"
W1054997,FSS,M,"Full Touch"
W1054997,FSS,N,"Auto Quote Send"
W1055018,FSS,M,"Full Touch"
W1055018,FSS,N,"Auto Quote Send"
W1055044,FSS,N,"Auto Quote Send"
W1055044,FSS,M,"Full Touch"
W1055131,FSS,M,"Full Touch"
W1055131,FSS,N,"Auto Quote Send"
W1055144,FSS,M,"Full Touch"
W1055144,FSS,N,"Auto Quote Send"
W1055171,FSS,M,"Full Touch"
W1055171,FSS,N,"Auto Quote Send"
W1055191,FSS,M,"Full Touch"
W1055191,FSS,N,"Auto Quote Send"
W1055273,FSS,M,"Full Touch"
W1055273,FSS,N,"Auto Quote Send"
W1055274,FSS,M,"Full Touch"
W1055274,FSS,N,"Auto Quote Send"
W1055290,FSS,M,"Full Touch"
W1055290,FSS,N,"Auto Quote Send"
W1055350,FSS,M,"Full Touch"
W1055350,FSS,N,"Auto Quote Send"
W1055357,FSS,M,"Full Touch"
W1055357,FSS,N,"Auto Quote Send"
W1055403,FSS,M,"Full Touch"
W1055403,FSS,N,"Auto Quote Send"
W1055441,FSS,M,"Full Touch"
W1055441,FSS,Y,"No Touch"
W1055579,FSS,M,"Full Touch"
W1055579,FSS,N,"Auto Quote Send"
W1055710,FSS,M,"Full Touch"
W1055710,FSS,N,"Auto Quote Send"
W1055754,FSS,M,"Full Touch"
W1055754,FSS,Y,"No Touch"
W1055797,FSS,N,"Auto Quote Send"
W1055797,FSS,M,"Full Touch"
W1055806,FSS,M,"Full Touch"
W1055806,FSS,N,"Auto Quote Send"
W1055825,FSS,M,"Full Touch"
W1055825,FSS,Y,"No Touch"
W1055826,FSS,N,"Auto Quote Send"
W1055826,FSS,M,"Full Touch"
W1055845,FSS,M,"Full Touch"
W1055845,FSS,Y,"No Touch"
W1055846,FSS,M,"Full Touch"
W1055846,FSS,N,"Auto Quote Send"
W1056107,FSS,M,"Full Touch"
W1056107,FSS,Y,"No Touch"
W1056255,FSS,M,"Full Touch"
W1056255,FSS,Y,"No Touch"
W1056291,FSS,M,"Full Touch"
W1056291,FSS,Y,"No Touch"
W1056432,FSS,M,"Full Touch"
W1056432,FSS,Y,"No Touch"
W1056801,FSS,Y,"No Touch"
W1056801,FSS,M,"Full Touch"
W1056807,FSS,M,"Full Touch"
W1056807,FSS,Y,"No Touch"
W1056835,FSS,M,"Full Touch"
W1056835,FSS,Y,"No Touch"
W1056851,FSS,Y,"No Touch"
W1056851,FSS,M,"Full Touch"
W1056863,FSS,M,"Full Touch"
W1056863,FSS,Y,"No Touch"
W1056934,FSS,M,"Full Touch"
W1056934,FSS,N,"Auto Quote Send"
W1057072,FSS,N,"Auto Quote Send"
W1057072,FSS,M,"Full Touch"
W1057087,FSS,M,"Full Touch"
W1057087,FSS,N,"Auto Quote Send"
W1057088,FSS,M,"Full Touch"
W1057088,FSS,N,"Auto Quote Send"
W1057139,FSS,M,"Full Touch"
W1057139,FSS,N,"Auto Quote Send"
W1057184,FSS,M,"Full Touch"
W1057184,FSS,N,"Auto Quote Send"
W1057196,FSS,M,"Full Touch"
W1057196,FSS,N,"Auto Quote Send"
W1057223,FSS,M,"Full Touch"
W1057223,FSS,N,"Auto Quote Send"
W1057227,FSS,M,"Full Touch"
W1057227,FSS,N,"Auto Quote Send"
W1057271,FSS,M,"Full Touch"
W1057271,FSS,N,"Auto Quote Send"
W1057390,FSS,M,"Full Touch"
W1057390,FSS,N,"Auto Quote Send"
W1057398,FSS,M,"Full Touch"
W1057398,FSS,N,"Auto Quote Send"
W1057465,FSS,M,"Full Touch"
W1057465,FSS,N,"Auto Quote Send"
W1057511,FSS,M,"Full Touch"
W1057511,FSS,N,"Auto Quote Send"
W1057554,FSS,M,"Full Touch"
W1057554,FSS,N,"Auto Quote Send"
W1057589,FSS,N,"Auto Quote Send"
W1057589,FSS,M,"Full Touch"
W1057660,FSS,M,"Full Touch"
W1057660,FSS,N,"Auto Quote Send"
W1057661,FSS,M,"Full Touch"
W1057661,FSS,N,"Auto Quote Send"
W1057662,FSS,M,"Full Touch"
W1057662,FSS,N,"Auto Quote Send"
W1057663,FSS,M,"Full Touch"
W1057663,FSS,N,"Auto Quote Send"
W1057664,FSS,M,"Full Touch"
W1057664,FSS,N,"Auto Quote Send"
W1057665,FSS,M,"Full Touch"
W1057665,FSS,N,"Auto Quote Send"
W1057666,FSS,M,"Full Touch"
W1057666,FSS,N,"Auto Quote Send"
W1057667,FSS,M,"Full Touch"
W1057667,FSS,N,"Auto Quote Send"
W1057668,FSS,M,"Full Touch"
W1057668,FSS,N,"Auto Quote Send"
W1057670,FSS,M,"Full Touch"
W1057670,FSS,N,"Auto Quote Send"
W1057778,FSS,M,"Full Touch"
W1057778,FSS,N,"Auto Quote Send"
W1057816,FSS,M,"Full Touch"
W1057816,FSS,N,"Auto Quote Send"
W1057850,FSS,M,"Full Touch"
W1057850,FSS,N,"Auto Quote Send"
W1058077,FSS,M,"Full Touch"
W1058077,FSS,N,"Auto Quote Send"
W1058154,FSS,M,"Full Touch"
W1058154,FSS,N,"Auto Quote Send"
W1058192,FSS,M,"Full Touch"
W1058192,FSS,N,"Auto Quote Send"
W1058223,FSS,M,"Full Touch"
W1058223,FSS,N,"Auto Quote Send"
W1058292,FSS,M,"Full Touch"
W1058292,FSS,Y,"No Touch"
W1058484,FSS,M,"Full Touch"
W1058484,FSS,N,"Auto Quote Send"
W1058504,FSS,M,"Full Touch"
W1058504,FSS,N,"Auto Quote Send"
W1058568,FSS,M,"Full Touch"
W1058568,FSS,N,"Auto Quote Send"
W1058594,FSS,M,"Full Touch"
W1058594,FSS,N,"Auto Quote Send"
W1058703,FSS,M,"Full Touch"
W1058703,FSS,N,"Auto Quote Send"
W1058828,FSS,M,"Full Touch"
W1058828,FSS,N,"Auto Quote Send"
W1058836,FSS,M,"Full Touch"
W1058836,FSS,N,"Auto Quote Send"
W1058843,FSS,N,"Auto Quote Send"
W1058843,FSS,M,"Full Touch"
W1058891,FSS,M,"Full Touch"
W1058891,FSS,N,"Auto Quote Send"
W1059079,FSS,M,"Full Touch"
W1059079,FSS,N,"Auto Quote Send"
W1059139,FSS,M,"Full Touch"
W1059139,FSS,N,"Auto Quote Send"
W1059140,FSS,M,"Full Touch"
W1059140,FSS,N,"Auto Quote Send"
W1059142,FSS,M,"Full Touch"
W1059142,FSS,N,"Auto Quote Send"
W1059202,FSS,M,"Full Touch"
W1059202,FSS,N,"Auto Quote Send"
W1059210,FSS,M,"Full Touch"
W1059210,FSS,N,"Auto Quote Send"
W1059225,FSS,M,"Full Touch"
W1059225,FSS,N,"Auto Quote Send"
W1059257,FSS,M,"Full Touch"
W1059257,FSS,N,"Auto Quote Send"
W1059530,FSS,M,"Full Touch"
W1059530,FSS,N,"Auto Quote Send"
W1059615,FSS,M,"Full Touch"
W1059615,FSS,N,"Auto Quote Send"
W1059735,FSS,M,"Full Touch"
W1059735,FSS,N,"Auto Quote Send"
W1059743,FSS,N,"Auto Quote Send"
W1059743,FSS,M,"Full Touch"
W1059809,FSS,M,"Full Touch"
W1059809,FSS,N,"Auto Quote Send"
W1059849,FSS,M,"Full Touch"
W1059849,FSS,N,"Auto Quote Send"
W1059865,FSS,M,"Full Touch"
W1059865,FSS,Y,"No Touch"
W1060473,FSS,M,"Full Touch"
W1060473,FSS,N,"Auto Quote Send"
W1060517,FSS,Y,"No Touch"
W1060517,FSS,M,"Full Touch"
W1060662,FSS,M,"Full Touch"
W1060662,FSS,Y,"No Touch"
W1060919,FSS,M,"Full Touch"
W1060919,FSS,N,"Auto Quote Send"
W1060944,FSS,M,"Full Touch"
W1060944,FSS,N,"Auto Quote Send"
W1061007,FSS,M,"Full Touch"
W1061007,FSS,N,"Auto Quote Send"
W1061065,FSS,M,"Full Touch"
W1061065,FSS,N,"Auto Quote Send"
W1061088,FSS,M,"Full Touch"
W1061088,FSS,N,"Auto Quote Send"
W1061123,FSS,M,"Full Touch"
W1061123,FSS,N,"Auto Quote Send"
W1061149,FSS,M,"Full Touch"
W1061149,FSS,N,"Auto Quote Send"
W1061150,FSS,Y,"No Touch"
W1061150,FSS,M,"Full Touch"
W1061351,FSS,M,"Full Touch"
W1061351,FSS,N,"Auto Quote Send"
W1061367,FSS,M,"Full Touch"
W1061367,FSS,Y,"No Touch"
W1061458,FSS,M,"Full Touch"
W1061458,FSS,N,"Auto Quote Send"
W1061634,FSS,M,"Full Touch"
W1061634,FSS,N,"Auto Quote Send"
W1061642,FSS,M,"Full Touch"
W1061642,FSS,N,"Auto Quote Send"
W1061669,FSS,N,"Auto Quote Send"
W1061669,FSS,M,"Full Touch"
W1061867,FSS,M,"Full Touch"
W1061867,FSS,N,"Auto Quote Send"
W1062037,FSS,M,"Full Touch"
W1062037,FSS,N,"Auto Quote Send"
W1062044,FSS,N,"Auto Quote Send"
W1062044,FSS,M,"Full Touch"
W1062156,FSS,M,"Full Touch"
W1062156,FSS,N,"Auto Quote Send"
W1062246,FSS,M,"Full Touch"
W1062246,FSS,N,"Auto Quote Send"
W1062298,FSS,M,"Full Touch"
W1062298,FSS,N,"Auto Quote Send"
W1062329,FSS,M,"Full Touch"
W1062329,FSS,N,"Auto Quote Send"
W1062362,FSS,M,"Full Touch"
W1062362,FSS,N,"Auto Quote Send"
W1062678,FSS,M,"Full Touch"
W1062678,FSS,N,"Auto Quote Send"
W1062690,FSS,M,"Full Touch"
W1062690,FSS,N,"Auto Quote Send"
W1062691,FSS,M,"Full Touch"
W1062691,FSS,N,"Auto Quote Send"
W1063294,FSS,M,"Full Touch"
W1063294,FSS,N,"Auto Quote Send"
W1063639,FSS,M,"Full Touch"
W1063639,FSS,N,"Auto Quote Send"
W1063685,FSS,M,"Full Touch"
W1063685,FSS,N,"Auto Quote Send"
W1063877,FSS,M,"Full Touch"
W1063877,FSS,N,"Auto Quote Send"
W1064171,FSS,M,"Full Touch"
W1064171,FSS,N,"Auto Quote Send"
W1064177,FSS,M,"Full Touch"
W1064177,FSS,N,"Auto Quote Send"
W1064416,FSS,M,"Full Touch"
W1064416,FSS,N,"Auto Quote Send"
W1064535,FSS,N,"Auto Quote Send"
W1064535,FSS,M,"Full Touch"
W1064544,FSS,M,"Full Touch"
W1064544,FSS,N,"Auto Quote Send"
W1064804,FSS,M,"Full Touch"
W1064804,FSS,N,"Auto Quote Send"
W1064805,FSS,M,"Full Touch"
W1064805,FSS,N,"Auto Quote Send"
W1064806,FSS,M,"Full Touch"
W1064806,FSS,N,"Auto Quote Send"
W1064963,FSS,M,"Full Touch"
W1064963,FSS,N,"Auto Quote Send"
W1065175,FSS,M,"Full Touch"
W1065175,FSS,N,"Auto Quote Send"
W1065239,FSS,M,"Full Touch"
W1065239,FSS,N,"Auto Quote Send"
W1066178,FSS,M,"Full Touch"
W1066178,FSS,Y,"No Touch"
W1066388,FSS,M,"Full Touch"
W1066388,FSS,N,"Auto Quote Send"
W1066486,FSS,M,"Full Touch"
W1066486,FSS,Y,"No Touch"
W1066595,FSS,N,"Auto Quote Send"
W1066595,FSS,M,"Full Touch"
W1066811,FSS,M,"Full Touch"
W1066811,FSS,Y,"No Touch"
W1066924,FSS,M,"Full Touch"
W1066924,FSS,N,"Auto Quote Send"
W1067094,FSS,M,"Full Touch"
W1067094,FSS,Y,"No Touch"
W1067135,FSS,M,"Full Touch"
W1067135,FSS,N,"Auto Quote Send"
W1067165,FSS,M,"Full Touch"
W1067165,FSS,Y,"No Touch"
W1067778,FSS,M,"Full Touch"
W1067778,FSS,N,"Auto Quote Send"
W1068078,FSS,M,"Full Touch"
W1068078,FSS,N,"Auto Quote Send"
W1068079,FSS,M,"Full Touch"
W1068079,FSS,N,"Auto Quote Send"
W1068385,FSS,M,"Full Touch"
W1068385,FSS,N,"Auto Quote Send"
W1068493,FSS,M,"Full Touch"
W1068493,FSS,N,"Auto Quote Send"
W1069181,FSS,M,"Full Touch"
W1069181,FSS,N,"Auto Quote Send"
W1069226,FSS,M,"Full Touch"
W1069226,FSS,N,"Auto Quote Send"
W1069405,FSS,M,"Full Touch"
W1069405,FSS,Y,"No Touch"
W1069434,FSS,M,"Full Touch"
W1069434,FSS,N,"Auto Quote Send"
W1069540,FSS,M,"Full Touch"
W1069540,FSS,N,"Auto Quote Send"
W1070047,FSS,N,"Auto Quote Send"
W1070047,FSS,M,"Full Touch"
W1070094,FSS,M,"Full Touch"
W1070094,FSS,N,"Auto Quote Send"
W1070244,FSS,M,"Full Touch"
W1070244,FSS,N,"Auto Quote Send"
W1071304,FSS,M,"Full Touch"
W1071304,FSS,N,"Auto Quote Send"
W1072009,FSS,M,"Full Touch"
W1072009,FSS,Y,"No Touch"
W1072882,FSS,M,"Full Touch"
W1072882,FSS,N,"Auto Quote Send"
W1073475,FSS,M,"Full Touch"
W1073475,FSS,N,"Auto Quote Send"
W1073591,FSS,M,"Full Touch"
W1073591,FSS,N,"Auto Quote Send"
W1075033,FSS,N,"Auto Quote Send"
W1075033,FSS,M,"Full Touch"
W1075475,FSS,M,"Full Touch"
W1075475,FSS,N,"Auto Quote Send"
W1079405,FSS,M,"Full Touch"
W1079405,FSS,N,"Auto Quote Send"
